NAME,PARENT,GRA[H_TYPE,GOD_ONLY,IT_TITLE,IS_PROFESSION,IS_HIDDEN,MONEY_REQUIRED,,POINTS_REQUIRED,SKILLS_REQUIRED,PRECLUSION_SKILLS,XP_TYPE,XP_COST,XP_CAP,MISSION_REQUIRED,APPRENTICESHIPS_REQUIRED,STATS_REQUIRED,SPECIES_REQUIRED,JEDI_STATE_REQUIRED,SKILL_ABILITY,COMMANDS,SKILL_MODS,SCHEMATICS_GRANTED,SCHEMATICS_REQUIRED,SEARCHABLE,ENDER
combat_melee_basic,,4,FALSE,FALSE,FALSE,FALSE,0,0,0,,,,0,0,,0,,,0,,,,,,TRUE,0
combat_ranged_weapons_basic,,4,FALSE,FALSE,FALSE,FALSE,0,0,0,,,,0,0,,0,,,0,,,,,,TRUE,0
demo_combat,,4,FALSE,FALSE,FALSE,FALSE,0,0,0,,,,0,0,,0,,,0,,,,,,TRUE,0
common_knowledge,,4,FALSE,FALSE,FALSE,FALSE,0,0,0,,,,0,0,,0,,,0,,,,,,TRUE,0
utility,,4,TRUE,FALSE,FALSE,FALSE,0,0,0,,,,0,0,,0,,,0,,,,,,TRUE,0
utility_beta,utility,4,TRUE,FALSE,FALSE,FALSE,0,0,0,,,,0,0,,0,,,0,,,,,,TRUE,0
utility_beta_demo_combat,utility_beta,4,TRUE,FALSE,FALSE,FALSE,0,0,0,,,,0,0,,0,,,0,,,,,,TRUE,0
utility_player,utility,4,TRUE,FALSE,FALSE,FALSE,0,0,0,,,,0,0,,0,,,0,,,,,,TRUE,0
social,,4,TRUE,FALSE,FALSE,FALSE,0,0,0,,,,0,0,,0,,,0,,,,,,TRUE,0
social_entertainer,social,4,FALSE,FALSE,TRUE,FALSE,0,0,0,,,,0,0,,0,,,0,,,,,,TRUE,0
social_entertainer_novice,social_entertainer,4,FALSE,TRUE,FALSE,FALSE,100,0,0,,,,0,0,,0,,,0,,"private_entertainer_novice,musician,dancer,imagedesigner,startDance,stopDance,startMusic,stopMusic,flourish+1,flourish+2,flourish+3,flourish+4,flourish+5,flourish+6,flourish+7,flourish+8,startDance+basic,startDance+rhythmic,startMusic+starwars1,slitherhorn","healing_dance_wound=5,healing_music_wound=5,healing_music_ability=5,healing_dance_ability=5,hair=1,face=1,healing_entertainer_band_ability=5",,,TRUE,0
social_entertainer_master,social_entertainer,4,FALSE,TRUE,FALSE,FALSE,2500,0,0,"social_entertainer_hairstyle_04,social_entertainer_music_04,social_entertainer_dance_04,social_entertainer_healing_04",,,0,0,,0,,,0,,"private_entertainer_master,startDance+footloose2,startDance+formal2,startMusic+ceremonial","healing_dance_ability=2,healing_music_ability=2,healing_dance_wound=2,healing_music_wound=2,healing_entertainer_band_ability=15",,,TRUE,0
social_entertainer_hairstyle_01,social_entertainer,4,FALSE,FALSE,FALSE,FALSE,500,0,0,social_entertainer_novice,,imagedesigner,2000,10000,,0,,,0,,private_entertainer_hair_1,"hair=1,healing_entertainer_band_ability=5",,,TRUE,0
social_entertainer_hairstyle_02,social_entertainer_hairstyle_01,4,FALSE,FALSE,FALSE,FALSE,1000,0,0,social_entertainer_hairstyle_01,,imagedesigner,5000,20000,,0,,,0,,private_entertainer_hair_2,"markings=1,face=1,healing_entertainer_band_ability=5",,,TRUE,0
social_entertainer_hairstyle_03,social_entertainer_hairstyle_02,4,FALSE,FALSE,FALSE,FALSE,1500,0,0,social_entertainer_hairstyle_02,,imagedesigner,10000,30000,,0,,,0,,private_entertainer_hair_3,"hair=1,healing_entertainer_band_ability=5",,,TRUE,0
social_entertainer_hairstyle_04,social_entertainer_hairstyle_03,4,FALSE,TRUE,FALSE,FALSE,2000,0,0,social_entertainer_hairstyle_03,,imagedesigner,15000,30000,,0,,,0,,private_entertainer_hair_4,"hair=1,face=1,healing_entertainer_band_ability=5",,,TRUE,0
